DateTime,Entries,UniqueIPs
1527147404,4002,4002
1527148597,4007,4007
1527149534,4038,4038
1527150502,4026,4026
1527151463,4037,4037
1527152425,4029,4029
1527153404,4012,4012
1527154346,3981,3981
1527155309,3986,3986
1527156264,3993,3993
1527157215,3935,3935
1527158176,3910,3910
1527159148,3885,3885
1527160097,3846,3846
1527161058,3835,3835
1527162020,3752,3752
1527162979,3682,3682
1527163958,3633,3633
1527164892,3608,3608
1527165871,3574,3574
1527166846,3549,3549
1527167772,3539,3539
1527169498,3694,3694
1527170668,3690,3690
1527171612,3635,3635
1527172605,3609,3609
1527173583,3586,3586
1527174528,3562,3562
1527175459,3538,3538
1527176420,3513,3513
1527177401,3568,3568
1527178338,3588,3588
1527179294,3630,3630
1527180271,3664,3664
1527181224,3655,3655
1527182198,3719,3719
1527183147,3695,3695
1527184099,3703,3703
1527185087,3721,3721
1527186036,3694,3694
1527187219,3719,3719
1527188185,3727,3727
1527189143,3726,3726
1527190104,3739,3739
1527191066,3720,3720
1527192026,3718,3718
1527192977,3699,3699
1527193942,3677,3677
1527194900,3655,3655
1527195872,3630,3630
1527196814,3637,3637
1527197795,3664,3664
1527198746,3726,3726
1527199708,3775,3775
1527200661,3693,3693
1527201774,3685,3685
1527202819,3645,3645
1527203779,3620,3620
1527204742,3568,3568
1527205697,3542,3542
1527206664,3558,3558
1527207611,3584,3584
1527208599,3516,3516
1527209537,3465,3465
1527210510,3444,3444
1527211456,3541,3541
1527212418,3589,3589
1527213375,3616,3616
1527214361,3572,3572
1527215334,3554,3554
1527216276,3557,3557
1527217215,3567,3567
1527218190,3541,3541
1527219142,3531,3531
1527220113,3554,3554
1527221064,3585,3585
1527222022,3648,3648
1527222977,3678,3678
1527223945,3680,3680
1527224908,3687,3687
1527225870,3682,3682
1527226813,3667,3667
1527227798,3674,3674
1527228740,3674,3674
1527229701,3615,3615
1527230683,3663,3663
1527231632,3729,3729
1527232577,3745,3745
1527233546,3750,3750
1527234493,3734,3734
1527235485,3732,3732
1527236412,3719,3719
1527237391,3724,3724
1527238336,3717,3717
1527239305,3689,3689
1527240268,3685,3685
1527241233,3679,3679
1527242184,3692,3692
1527243152,3681,3681
