DateTime,Entries,UniqueIPs
1527211970,92,92
1527213915,92,92
1527215875,90,90
1527217746,88,88
1527219650,84,84
1527221592,81,81
1527223491,82,82
1527225426,83,83
1527227307,82,82
1527229262,81,81
1527231160,79,79
1527233110,78,78
1527234991,80,80
1527236965,81,81
1527240938,77,77
1527242919,79,79
